ecosystem,package,version,ids,fixed_versions_across_advisories,sources,status
crates.io,anyhow,1.0.102,RUSTSEC-2026-0190,1.0.103,https://osv.dev/vulnerability/RUSTSEC-2026-0190,Version match only; see main report for use-specific assessment
crates.io,event-listener,5.4.1,RUSTSEC-2026-0221,5.4.2,https://osv.dev/vulnerability/RUSTSEC-2026-0221,Version match only; see main report for use-specific assessment
crates.io,h2,0.3.27,RUSTSEC-2026-0258,0.4.16,https://osv.dev/vulnerability/RUSTSEC-2026-0258,Version match only; see main report for use-specific assessment
crates.io,lru,0.18.0,RUSTSEC-2026-0253,0.18.2,https://osv.dev/vulnerability/RUSTSEC-2026-0253,Version match only; see main report for use-specific assessment
crates.io,rsa,0.9.10,RUSTSEC-2023-0071,,https://osv.dev/vulnerability/RUSTSEC-2023-0071,Version match only; see main report for use-specific assessment
crates.io,rustls,0.23.41,RUSTSEC-2026-0285,0.23.45,https://osv.dev/vulnerability/RUSTSEC-2026-0285,Version match only; see main report for use-specific assessment
crates.io,rustls-webpki,0.101.7,GHSA-82j2-j2ch-gfr8; GHSA-965h-392x-2mh5; GHSA-xgp8-3hg3-c2mh; RUSTSEC-2026-0098; RUSTSEC-2026-0099; RUSTSEC-2026-0104,0.103.12; 0.103.13; 0.104.0-alpha.6; 0.104.0-alpha.7,https://osv.dev/vulnerability/GHSA-82j2-j2ch-gfr8; https://osv.dev/vulnerability/GHSA-965h-392x-2mh5; https://osv.dev/vulnerability/GHSA-xgp8-3hg3-c2mh; https://osv.dev/vulnerability/RUSTSEC-2026-0098; https://osv.dev/vulnerability/RUSTSEC-2026-0099; https://osv.dev/vulnerability/RUSTSEC-2026-0104,Version match only; see main report for use-specific assessment
crates.io,webbrowser,1.2.1,RUSTSEC-2026-0257,1.2.2,https://osv.dev/vulnerability/RUSTSEC-2026-0257,Version match only; see main report for use-specific assessment
npm,baseline-browser-mapping,2.10.37,GHSA-w5vr-8v7q-w6rv,2.11.0,https://osv.dev/vulnerability/GHSA-w5vr-8v7q-w6rv,Version match only; see main report for use-specific assessment
npm,brace-expansion,5.0.6,GHSA-3jxr-9vmj-r5cp; GHSA-mh99-v99m-4gvg; GHSA-rgw5-rvv9-x895,1.1.16; 1.1.17; 1.1.18; 2.1.2; 2.1.3; 2.1.4; 3.0.3; 3.0.6; 5.0.7; 5.0.8; 5.0.9,https://osv.dev/vulnerability/GHSA-3jxr-9vmj-r5cp; https://osv.dev/vulnerability/GHSA-mh99-v99m-4gvg; https://osv.dev/vulnerability/GHSA-rgw5-rvv9-x895,Version match only; see main report for use-specific assessment
npm,browserslist,4.28.2,GHSA-73wf-gq98-2v4g; GHSA-c83g-rgw3-j3cx,4.28.7,https://osv.dev/vulnerability/GHSA-73wf-gq98-2v4g; https://osv.dev/vulnerability/GHSA-c83g-rgw3-j3cx,Version match only; see main report for use-specific assessment
npm,fast-uri,3.1.2,GHSA-4c8g-83qw-93j6; GHSA-7p8r-x3mc-p8w7; GHSA-f65p-4m7j-42xc; GHSA-fph4-wmhf-6fwf; GHSA-jqff-g426-hqxp; GHSA-v2hh-gcrm-f6hx,2.4.2; 2.4.3; 2.4.4; 2.4.5; 3.1.3; 3.1.4; 3.1.5; 3.1.6; 4.0.1; 4.1.1; 4.1.2; 4.1.3,https://osv.dev/vulnerability/GHSA-4c8g-83qw-93j6; https://osv.dev/vulnerability/GHSA-7p8r-x3mc-p8w7; https://osv.dev/vulnerability/GHSA-f65p-4m7j-42xc; https://osv.dev/vulnerability/GHSA-fph4-wmhf-6fwf; https://osv.dev/vulnerability/GHSA-jqff-g426-hqxp; https://osv.dev/vulnerability/GHSA-v2hh-gcrm-f6hx,Version match only; see main report for use-specific assessment
npm,js-yaml,4.2.0,GHSA-2883-xcg3-v3hh; GHSA-52cp-r559-cp3m; GHSA-5p4m-2wfm-xmqj,3.15.0; 3.15.1; 3.15.2; 4.3.0; 4.3.1; 4.3.2,https://osv.dev/vulnerability/GHSA-2883-xcg3-v3hh; https://osv.dev/vulnerability/GHSA-52cp-r559-cp3m; https://osv.dev/vulnerability/GHSA-5p4m-2wfm-xmqj,Version match only; see main report for use-specific assessment
npm,lodash-es,4.17.23,GHSA-f23m-r3pf-42rh; GHSA-r5fr-rjxr-66jc,4.18.0,https://osv.dev/vulnerability/GHSA-f23m-r3pf-42rh; https://osv.dev/vulnerability/GHSA-r5fr-rjxr-66jc,Version match only; see main report for use-specific assessment
npm,nanoid,3.3.12,GHSA-28wg-ghj8-5hjv; GHSA-2v37-7h3g-55p8,3.3.16; 3.3.18; 5.1.16; 5.1.6,https://osv.dev/vulnerability/GHSA-28wg-ghj8-5hjv; https://osv.dev/vulnerability/GHSA-2v37-7h3g-55p8,Version match only; see main report for use-specific assessment
npm,nitro,3.0.260311-beta,GHSA-5w89-w975-hf9q; GHSA-9phm-9p8f-hw5m,2.13.4; 3.0.260429-beta,https://osv.dev/vulnerability/GHSA-5w89-w975-hf9q; https://osv.dev/vulnerability/GHSA-9phm-9p8f-hw5m,Version match only; see main report for use-specific assessment
npm,postcss,8.5.15,GHSA-fxqj-rqcc-2cmp; GHSA-r28c-9q8g-f849,8.5.18; 8.5.23,https://osv.dev/vulnerability/GHSA-fxqj-rqcc-2cmp; https://osv.dev/vulnerability/GHSA-r28c-9q8g-f849,Version match only; see main report for use-specific assessment
